Tale,Characters,TaleOccurrenceFrequency,RelationFrequency
2. Katze und Maus in Gesellschaft .,"Gevatter, Mauschen",1,1
2. Katze und Maus in Gesellschaft .,"Haar, Maus",1,2
2. Katze und Maus in Gesellschaft .,"Weg, Maus",1,1
2. Katze und Maus in Gesellschaft .,"Abend, Haus",1,10
2. Katze und Maus in Gesellschaft .,"'er, Ganzaus",1,1
2. Katze und Maus in Gesellschaft .,"Ganzaus, Maus",1,1
2. Katze und Maus in Gesellschaft .,"Gut, Name",1,1
2. Katze und Maus in Gesellschaft .,"Gevatter, Haar",1,1
2. Katze und Maus in Gesellschaft .,"Gevatter, Ring",1,1
2. Katze und Maus in Gesellschaft .,"Gevatter, Tag",1,2
2. Katze und Maus in Gesellschaft .,"Gott, Gut",1,1
2. Katze und Maus in Gesellschaft .,"Weg, Katze",1,3
2. Katze und Maus in Gesellschaft .,"Weg, Fetttopf",1,1
2. Katze und Maus in Gesellschaft .,"Gevatter, Jahr",1,1
3. Marienkind .,"Jungfrau, Maria",11,11
3. Marienkind .,"Jungfrau, Kind",6,7
3. Marienkind .,"Kind, Maria",6,6
3. Marienkind .,"Königin, Kind",6,28
3. Marienkind .,"Maria, Himmel",5,5
3. Marienkind .,"Jungfrau, Himmel",5,5
3. Marienkind .,"Tür, Maria",5,5
3. Marienkind .,"Tür, Jungfrau",5,5
3. Marienkind .,"Königin, Maria",4,4
3. Marienkind .,"Jungfrau, Königin",4,6
3. Marienkind .,"Jahr, Königin",3,14
3. Marienkind .,"Jungfrau, Herz",3,5
3. Marienkind .,"Tür, Kind",3,5
3. Marienkind .,"Jungfrau, Türe",3,3
3. Marienkind .,"Kind, Himmel",3,5
3. Marienkind .,"Königin, Leute",3,4
3. Marienkind .,"Tür, Königin",3,3
3. Marienkind .,"Morgen, Königin",3,5
3. Marienkind .,"Herz, Maria",3,3
3. Marienkind .,"Jahr, Kind",3,12
3. Marienkind .,"Morgen, Leute",3,3
3. Marienkind .,"Tür, Herz",3,6
3. Marienkind .,"Königin, Sohn",2,5
3. Marienkind .,"Mutter, Maria",2,2
3. Marienkind .,"König, Leute",2,16
3. Marienkind .,"Maria, Töchterlein",2,2
3. Marienkind .,"Mutter, Jungfrau",2,2
3. Marienkind .,"Tür, Himmel",2,2
3. Marienkind .,"Jahr, Maria",2,2
3. Marienkind .,"Haar, Baum",2,3
3. Marienkind .,"Königin, Nacht",2,7
3. Marienkind .,"Morgen, Kind",2,7
