Tale,Categories,TaleOccurrenceFrequency,CategoryRelationFrequency
27. Die Bremer Stadtmusikanten .,"Weiblich, Verschiedenes",1,35
28. Der singende Knochen .,"Männlich, Beziehung",6,185
28. Der singende Knochen .,"Adel, Orte",5,61
28. Der singende Knochen .,"Adel, Beziehung",3,123
28. Der singende Knochen .,"Adel, Weiblich",2,105
28. Der singende Knochen .,"Orte, Beziehung",2,82
28. Der singende Knochen .,"Adel, Männlich",2,72
28. Der singende Knochen .,"Weiblich, Beziehung",2,176
28. Der singende Knochen .,"Beziehung, Nahrung",1,9
28. Der singende Knochen .,"Orte, Nahrung",1,16
28. Der singende Knochen .,"Orte, Körperteil",1,34
28. Der singende Knochen .,"Orte, Verschiedenes",1,33
28. Der singende Knochen .,"Männlich, Orte",1,41
28. Der singende Knochen .,"Weiblich, Orte",1,65
28. Der singende Knochen .,"Männlich, Nahrung",1,10
29. Der Teufel mit den drei goldenen Haaren .,"Adel, Weiblich",9,105
29. Der Teufel mit den drei goldenen Haaren .,"Adel, Beziehung",7,123
29. Der Teufel mit den drei goldenen Haaren .,"Weiblich, Beziehung",6,176
29. Der Teufel mit den drei goldenen Haaren .,"Adel, Verschiedenes",5,67
29. Der Teufel mit den drei goldenen Haaren .,"Weiblich, Orte",4,65
29. Der Teufel mit den drei goldenen Haaren .,"Weiblich, Verschiedenes",4,35
29. Der Teufel mit den drei goldenen Haaren .,"Beziehung, Verschiedenes",3,54
29. Der Teufel mit den drei goldenen Haaren .,"Adel, Wertgegenstände",3,28
29. Der Teufel mit den drei goldenen Haaren .,"Orte, Beziehung",3,82
29. Der Teufel mit den drei goldenen Haaren .,"Orte, Nahrung",3,16
29. Der Teufel mit den drei goldenen Haaren .,"Weiblich, Wertgegenstände",2,20
29. Der Teufel mit den drei goldenen Haaren .,"Wertgegenstände, Beziehung",2,31
29. Der Teufel mit den drei goldenen Haaren .,"Adel, Orte",2,61
29. Der Teufel mit den drei goldenen Haaren .,"Adel, Männlich",2,72
29. Der Teufel mit den drei goldenen Haaren .,"Wertgegenstände, Verschiedenes",2,8
29. Der Teufel mit den drei goldenen Haaren .,"Männlich, Verschiedenes",1,32
29. Der Teufel mit den drei goldenen Haaren .,"Männlich, Weiblich",1,33
29. Der Teufel mit den drei goldenen Haaren .,"Weiblich, Nahrung",1,13
29. Der Teufel mit den drei goldenen Haaren .,"Wertgegenstände, Nahrung",1,5
29. Der Teufel mit den drei goldenen Haaren .,"Adel, Körperteil",1,61
29. Der Teufel mit den drei goldenen Haaren .,"Weiblich, Körperteil",1,41
29. Der Teufel mit den drei goldenen Haaren .,"Beziehung, Körperteil",1,53
29. Der Teufel mit den drei goldenen Haaren .,"Orte, Verschiedenes",1,33
29. Der Teufel mit den drei goldenen Haaren .,"Wertgegenstände, Körperteil",1,14
29. Der Teufel mit den drei goldenen Haaren .,"Körperteil, Verschiedenes",1,23
29. Der Teufel mit den drei goldenen Haaren .,"Wertgegenstände, Orte",1,15
31. Das Mädchen ohne Hände .,"Adel, Orte",8,61
31. Das Mädchen ohne Hände .,"Weiblich, Beziehung",8,176
31. Das Mädchen ohne Hände .,"Beziehung, Körperteil",6,53
31. Das Mädchen ohne Hände .,"Adel, Weiblich",6,105
31. Das Mädchen ohne Hände .,"Adel, Beziehung",6,123
31. Das Mädchen ohne Hände .,"Weiblich, Orte",5,65
31. Das Mädchen ohne Hände .,"Weiblich, Verschiedenes",4,35
31. Das Mädchen ohne Hände .,"Beziehung, Verschiedenes",4,54
31. Das Mädchen ohne Hände .,"Adel, Verschiedenes",4,67
31. Das Mädchen ohne Hände .,"Orte, Beziehung",4,82
31. Das Mädchen ohne Hände .,"Adel, Körperteil",3,61
31. Das Mädchen ohne Hände .,"Weiblich, Körperteil",3,41
31. Das Mädchen ohne Hände .,"Orte, Körperteil",3,34
31. Das Mädchen ohne Hände .,"Orte, Verschiedenes",2,33
31. Das Mädchen ohne Hände .,"Männlich, Orte",2,41
31. Das Mädchen ohne Hände .,"Adel, Männlich",2,72
31. Das Mädchen ohne Hände .,"Gewerbebezeichnung, Körperteil",2,19
31. Das Mädchen ohne Hände .,"Gewerbebezeichnung, Beziehung",2,37
31. Das Mädchen ohne Hände .,"Gewerbebezeichnung, Orte",2,14
31. Das Mädchen ohne Hände .,"Weiblich, Gewerbebezeichnung",1,21
31. Das Mädchen ohne Hände .,"Männlich, Weiblich",1,33
31. Das Mädchen ohne Hände .,"Männlich, Körperteil",1,30
31. Das Mädchen ohne Hände .,"Körperteil, Verschiedenes",1,23
33. Die drei Sprachen .,"Männlich, Verschiedenes",4,32
33. Die drei Sprachen .,"Adel, Männlich",3,72
33. Die drei Sprachen .,"Orte, Verschiedenes",1,33
33. Die drei Sprachen .,"Männlich, Orte",1,41
34. Die kluge Else .,"Beziehung, Verschiedenes",6,54
34. Die kluge Else .,"Weiblich, Beziehung",3,176
