tales	similarity (overlap of top 10 nouns)	nouns
31. Das Mädchen ohne Hände ., 84. Hans heirathet .	2	 Hand,  Frau
34. Die kluge Else ., 38. Die Hochzeit der Frau Füchsin .	2	 Magd,  Frau
34. Die kluge Else ., 39. Die Wichtelmänner .	2	 Mann,  Frau
34. Die kluge Else ., 43. Frau Trude .	2	 Mann,  Kind
34. Die kluge Else ., 44. Der Gevatter Tod .	2	 Mann,  Kind
34. Die kluge Else ., 48. Der alte Sultan .	2	 Frau,  Kind
34. Die kluge Else ., 52. König Drosselbart .	2	 Mann,  Frau
34. Die kluge Else ., 56. Der Liebste Roland .	2	 Kopf,  Kind
34. Die kluge Else ., 58. Der Hund und der Sperling .	2	 Kopf,  Mann
34. Die kluge Else ., 59. Der Frieder und das Catherlieschen .	2	 Mann,  Bier
34. Die kluge Else ., 78. Der alte Großvater und der Enkel .	2	 Mann,  Frau
37. Daumesdick ., 38. Die Hochzeit der Frau Füchsin .	2	 Frau,  Wolf
37. Daumesdick ., 39. Die Wichtelmänner .	2	 Mann,  Frau
37. Daumesdick ., 42. Der Herr Gevatter .	2	 Mann,  Kind
37. Daumesdick ., 43. Frau Trude .	2	 Mann,  Kind
37. Daumesdick ., 44. Der Gevatter Tod .	2	 Mann,  Kind
