tales	similarity (overlap of top 10 nouns)	nouns
26. Rothkäppchen ., full corpus	3	 Tag,  Haus,  Wald
27. Die Bremer Stadtmusikanten ., 40. Der Räuberbräutigam .	3	 Haus,  Räuber,  Weg
27. Die Bremer Stadtmusikanten ., 108.	3	 Haus,  Weg,  Hahn
28. Der singende Knochen ., 49. Die sechs Schwäne .	3	König,  Wald,  Bruder
31. Das Mädchen ohne Hände ., 49. Die sechs Schwäne .	3	 Königin, König,  Kind
31. Das Mädchen ohne Hände ., 50. Dornröschen .	3	 Königin, König,  Kind
31. Das Mädchen ohne Hände ., 52. König Drosselbart .	3	König,  Frau,  Hand
31. Das Mädchen ohne Hände ., 76. Die Nelke .	3	 Königin, König,  Kind
31. Das Mädchen ohne Hände ., 102. Der Zaunkönig und der Bär .	3	 Königin,  Frau,  Kind
31. Das Mädchen ohne Hände ., full corpus	3	König,  Frau,  Kind
33. Die drei Sprachen ., 92. Der König vom goldenen Berg .	3	Vater,  Sohn,  Jahr
33. Die drei Sprachen ., 176. Die Lebenszeit .	3	 Zeit,  Hund,  Mensch
34. Die kluge Else ., 37. Daumesdick .	3	 Frau,  Mann,  Kind
34. Die kluge Else ., 42. Der Herr Gevatter .	3	 Mann,  Kopf,  Kind
34. Die kluge Else ., full corpus	3	 Frau,  Mann,  Kind
37. Daumesdick ., 58. Der Hund und der Sperling .	3	 Wagen,  Pferd,  Mann
37. Daumesdick ., 85. Die Goldkinder .	3	 Pferd,  Frau,  Vater
37. Daumesdick ., 87. Der Arme und der Reiche .	3	 Mann,  Frau,  Pferd
37. Daumesdick ., 102. Der Zaunkönig und der Bär .	3	 Frau,  Wolf,  Kind
37. Daumesdick ., 145. Der undankbare Sohn .	3	 Frau,  Mann,  Vater
38. Die Hochzeit der Frau Füchsin ., 48. Der alte Sultan .	3	 Herr,  Frau,  Katze
38. Die Hochzeit der Frau Füchsin ., 75. Der Fuchs und die Katze .	3	 Herr, Fuchs,  Katze
38. Die Hochzeit der Frau Füchsin ., 102. Der Zaunkönig und der Bär .	3	 Frau,  Wolf,  Schwanz
39. Die Wichtelmänner ., 78. Der alte Großvater und der Enkel .	3	 Mann,  Tisch,  Frau
40. Der Räuberbräutigam ., 103. Der süße Brei .	3	 Haus,  Wald,  Mädchen
40. Der Räuberbräutigam ., 123. Die Alte im Wald .	3	 Alte,  Wald,  Mädchen
40. Der Räuberbräutigam ., 193. Der Trommler .	3	 Alte,  Wald,  Mädchen
40. Der Räuberbräutigam ., full corpus	3	 Haus,  Wald,  Mädchen
42. Der Herr Gevatter ., 44. Der Gevatter Tod .	3	 Mann,  Kranke,  Kind
42. Der Herr Gevatter ., 92. Der König vom goldenen Berg .	3	 Wasser,  Mann,  Kopf
42. Der Herr Gevatter ., 144. Das Eselein .	3	 Tod,  Kopf,  Kind
43. Frau Trude ., 49. Die sechs Schwäne .	3	 Tag,  Mädchen,  Kind
43. Frau Trude ., 103. Der süße Brei .	3	 Haus,  Mädchen,  Kind
43. Frau Trude ., 104. Die klugen Leute .	3	 Tag,  Mann, Frau
43. Frau Trude ., 160. Räthselmärchen .	3	 Tag,  Haus,  Mann
47. Von dem Machandelboom ., 187. Der Hase und der Jgel .	3	De,  He,  Wöör
48. Der alte Sultan ., 94. Die kluge Bauerntochter .	3	 Bauer,  Frau,  Herr
48. Der alte Sultan ., 98. Doctor Allwissend .	3	 Bauer,  Frau,  Herr
48. Der alte Sultan ., 103. Der süße Brei .	3	 Wald,  Frau,  Kind
48. Der alte Sultan ., full corpus	3	 Wald,  Frau,  Kind
49. Die sechs Schwäne ., 54. Der Ranzen , das Hütlein und das Hörnlein .	3	 Tag,  Bruder,  Wald
49. Die sechs Schwäne ., 56. Der Liebste Roland .	3	 Alte,  Mädchen,  Kind
49. Die sechs Schwäne ., 76. Die Nelke .	3	 Königin, König,  Kind
49. Die sechs Schwäne ., 103. Der süße Brei .	3	 Wald,  Mädchen,  Kind
49. Die sechs Schwäne ., 136. Der Eisenhans .	3	 Tag, König,  Wald
49. Die sechs Schwäne ., 161. Schneeweißchen und Rosenroth .	3	 Wald,  Mädchen,  Kind
49. Die sechs Schwäne ., 193. Der Trommler .	3	 Alte,  Wald,  Mädchen
50. Dornröschen ., 76. Die Nelke .	3	 Königin, König,  Kind
50. Dornröschen ., 109. Das Todtenhemdchen .	3	 Tag,  Jahr,  Kind
50. Dornröschen ., 127. Der Eisenofen .	3	 Tag,  Königssohn,  Königstochter
50. Dornröschen ., full corpus	3	 Tag, König,  Kind
52. König Drosselbart ., 71. Sechse kommen durch die ganze Welt .	3	König,  Königstochter,  Mann
52. König Drosselbart ., 94. Die kluge Bauerntochter .	3	König,  Tochter,  Frau
52. König Drosselbart ., full corpus	3	 Frau, König,  Mann
53. Sneewittchen ., 76. Die Nelke .	3	 Königin,  Kind,  Herz
55. Rumpelstilzchen ., 179. Die Gänsehirtin am Brunnen .	3	 Königin,  König,  Mädchen
56. Der Liebste Roland ., 193. Der Trommler .	3	 Alte,  Mädchen,  Hexe
60. Die zwei Brüder ., 132. Der Fuchs und das Pferd .	3	 Fuchs,  Herr,  Löwe
62. Die Bienenkönigin ., 163. Der gläserne Sarg .	3	 Bruder,  Stein,  Schloß
64. Die goldene Gans ., 92. Der König vom goldenen Berg .	3	 Männchen,  Mann,  König
67. Die zwölf Jäger ., 89. Die Gänsemagd .	3	König,  Königstochter,  Braut
67. Die zwölf Jäger ., 111. Der gelernte Jäger .	3	 Königstochter,  Vater,  Jäger
67. Die zwölf Jäger ., 129. Die vier kunstreichen Brüder .	3	 Königstochter,  Vater,  Jäger
67. Die zwölf Jäger ., full corpus	3	König,  Mädchen,  Vater
71. Sechse kommen durch die ganze Welt ., 75. Der Fuchs und die Katze .	3	 Herr,  Welt,  Sack
76. Die Nelke ., 97. Das Wasser des Lebens .	3	 Leben,  Sohn,  Jäger
78. Der alte Großvater und der Enkel ., 145. Der undankbare Sohn .	3	 Frau,  Mann,  Vater
78. Der alte Großvater und der Enkel ., full corpus	3	 Frau,  Mann,  Vater
85. Die Goldkinder ., 87. Der Arme und der Reiche .	3	 Haus,  Pferd,  Frau
85. Die Goldkinder ., 103. Der süße Brei .	3	 Haus,  Wald,  Frau
85. Die Goldkinder ., 128. Die faule Spinnerin .	3	Mann,  Wald,  Frau
87. Der Arme und der Reiche ., 142. Simeliberg .	3	 Arme,  Mann,  Reiche
87. Der Arme und der Reiche ., 160. Räthselmärchen .	3	 Frau,  Haus,  Mann
87. Der Arme und der Reiche ., full corpus	3	 Frau,  Haus,  Mann
91. Dat Erdmänneken ., 96. De drei Vügelkens .	3	 Ase,  König, De
