Characters,CharacterFrequency
"Weg, Alte",5
"Mutter, Fuß",5
"Mutter, Wolf",5
"Wolf, Baum",5
"Leben, Kopf",5
"Brunnen, Stein",5
"Wolf, Stein",5
"Jahr, Königstochter",5
"Jahr, Schloß",5
"Königstochter, Tod",5
"Ranzen, Lustig",5
"Gold, Hans",5
"Spielhansel, Zahn",5
"Hans, Pferd",5
"Hans, Schwein",5
"Gold, Kind",5
"Kind, Tochter",5
"Brief, Knabe",5
"Wagenchen, Besenchen",5
"Flohchen, Besenchen",5
"Besenchen, Lauschen",5
"Müller, Tochter",5
"Frau, Feld",5
"Zeit, Kind",5
"Zeit, Sohn",5
"Schneider, Himmel",5
"Vater, Tier",5
"Wirt, Tischchen",5
"Gold, Welt",5
"Wirt, Bruder",5
"Fuchs, Haus",5
"Fuchs, Bruder",5
"Vater, Daumesdick",5
"Pferd, Fuhrmann",5
"Königstochter, Diener",5
"Schiff, Johannes",5
"Braut, Pferd",5
"Gold, Pferd",5
"Zeit, Herr",5
"Leben, Stein",5
"Welt, Sprache",5
"Sprache, Leben",5
"Königin, Leben",5
"Bauer, Taler",5
"Bauer, Kuh",5
"Bauer, Hund",5
"Geld, Tag",5
"Welt, Schloß",5
"Rock, Bauer",5
"Weg, Spielmann",5
"Mensch, Tier",5
"Tier, Mann",5
"Sohn, Tag",5
"Vater, Schloß",5
"Wald, Schloß",5
"Mutter, Bruder",5
"Welt, Bruder",5
"Arbeit, Haus",5
"Mädchen, Blume",5
"Wirt, Haus",5
"Tag, Stiefmutter",5
"Weg, Welt",5
"Morgen, Haus",5
"Baum, Jäger",5
"Morgen, Jäger",5
"Frau, Schloß",5
"Hochzeit, Zeit",5
"Hochzeit, Schloß",5
"Hexe, Tochter",5
"Hand, Nacht",5
"Königin, Auge",5
"Bett, Alte",5
"Frau, Gnade",5
"Leben, Gnade",5
"Wald, Tochter",5
"Hexe, Tier",5
"Herz, Auge",5
"Hand, Königssohn",5
"Wasser, Morgen",5
"Frau, Schnee",5
"Frau, Kleid",5
"Tod, Mann",5
"Mutter, Auge",5
"Jahr, Tochter",5
"Bett, Kopf",5
"Alte, Kopf",5
"Mutter, Wein",5
"Wein, Haus",5
"Haus, Tochter",5
"Herz, Tochter",5
"Arbeit, Tisch",5
"Hochzeit, Bräutigam",5
"Frau, Kammer",5
"Mädchen, Braut",5
"Hochzeit, Königssohn",5
"Morgen, Bett",5
"Arbeit, Feuer",5
"Weg, Bein",5
"Feuer, Kind",5
"Frau, Feuer",5
"Weg, Vogel",5
"Wald, Abend",5
"Hexe, Haus",5
"Jüngling, Königstochter",5
"Hand, Ehre",5
"De, Bett",5
"He, Wöör",5
"Awerst, Wöör",5
"König, De",5
"He, Kaiser",5
"Frau, Reich",5
"Kaiser, Mann",5
"Kaiser, Ik",5
"Stück, De",5
"Frau, Papst",5
"De, Papst",5
"Ehre, Licht",5
"Wald, Dümmling",5
"Dümmling, Gans",5
"Allerleirauh, Koch",5
"Suppe, Koch",5
"Frau, Gevatterin",5
"Huhn, Grethel",5
"Huhn, Gast",5
"Bruder, Kreuzer",5
"Bruder, Brot",5
"Bruder, Soldat",5
"Wasser, Land",5
"Huhn, Feuer",5
"Zwerg, Königin",5
"Fuchs, Jüngling",5
"Jungfrau, Schloß",5
"Fuchs, König",5
"Fuchs, Sprache",5
"Fuchs, Mensch",5
"Wurst, Katerliesechen",5
"Keller, Sprache",5
"Faß, Sprache",5
"Weg, Katerliesechen",5
"Haus, Friedearche",5
"Gold, Ei",5
"Jungfrau, Königstochter",5
"Jungfrau, Drachen",5
"Königstochter, Drachen",5
"Löwe, Königstochter",5
"Löwe, Herr",5
"Löwe, Sprache",5
"Kammer, Drachen",5
"Drachen, Herr",5
"Sprache, Wein",5
"Hexe, Stein",5
"Bauer, Bürle",5
"Herde, Bürle",5
"Frau, Bürle",5
"Rabe, Bürle",5
"Faß, Bürle",5
"Frau, Frieder",4
"Frieder, Butter",4
"Katerliesechen, Butter",4
"Butter, Friedearche",4
"Frau, Friedearche",4
"Mir_Es, Frieder",4
"Mir_Es, Friedearche",4
"Sprache, Frieder",4
"Sprache, Katerliesechen",4
"Sprache, Friedearche",4
"Katerliesechen, Haus",4
"Weg, Käse",4
"Käse, Katerliesechen",4
"Katerliesechen, Türe",4
"Feuer, Baum",4
"Bruder, Geld",4
"Bruder, Stein",4
"Feuer, Spieß",4
"Messer, Bruder",4
"Wirt, Sprache",4
"Sprache, Tochter",4
"Reich, Jungfrau",4
